department,target_category,query
All Departments,amazon device accessories,fire hd 10 tablet case
All Departments,amazon kindle,kindle
All Departments,automotive and powersports,automotive wheels
All Departments,baby products,baby shampoo
All Departments,beauty,it cosmetics
All Departments,books,chemistry textbook
All Departments,camera and photo,fujifilm instax mini film
All Departments,cell phones and accessories,iphone 11
All Departments,collectible coins,ngc coins
All Departments,consumer electronics ,lg tv
All Departments,entertainment collectibles,harry potter gifts
All Departments,fine art,african american wall art
All Departments,grocery and gourmet foods,00 flour
All Departments,health and personal care,iron supplement
All Departments,home and garden,queen comforter set
All Departments,independent design,handmade jewellery
All Departments,industrial and scientific,pcr machine
All Departments,kindle accessories and amazon fire tv accessories,pg94wif kindle case
All Departments,major appliances,dishwasher
All Departments,music and dvd,kpop album
All Departments,musical instruments,guitar
All Departments,office products,expanding file folder
All Departments,outdoors,tent
All Departments,personal computers,dell laptop
All Departments,pet supplies,dog food
All Departments,software,microsoft windows 10
All Departments,sports,pull up bar
All Departments,sports collectibles,fc barcelona jersey 
All Departments,tools and home improvement,pressure washer
All Departments,toys and games,play kitchen
All Departments,"video, dvd and blu-ray",dvd movies
All Departments,video games,nba 2k
All Departments,watches,watches for men
Alexa Skills,,Jeopardy Alexa Skill
Amazon Devices,,Amazon Echo
Amazon Fresh,,Carrots
Amazon Pharmacy,,Painkiller
Amazon Warehouse,,Refurbished HD TV 
Appliances,,french door fridge
Apps & Games,,social media apps 
"Arts, Crafts & Sewing",,electronic domestic sewing machine
Audible Books & Originals,,crime thriller audiobook
Automotive Parts & Accessories,,cabin air filter
Baby,,baby wet wipes
Beauty & Personal Care,,moisturizing cleanser
Books,,classic science fiction novel
CDs & Vinyl,,pink floyd vinyl
Cell Phones & Accessories,,samsung galaxy smartphone
"Clothing, Shoes & Jewelry",,converse chuck taylors
Collectibles & Fine Art,,collectible coins
Computers,,dell laptop
Credit and Payment Cards,,amazon business amex
Digital Music,,rock music
Electronics,,bluetooth headphones
Garden & Outdoor,,garden furniture set
Gift Cards,,gift cards for moms
Grocery & Gourmet Food,,fruit snacks
Handmade,,hand woven bag
"Health, Household & Baby Care",,toilet cleaner
Home & Business Services,,security camera and installation
Home & Kitchen,,chefs knife
Industrial & Scientific,,pcr machine
Just for Prime,,vr headset
Kindle Store,,kindle paperwhite
Luggage & Travel Gear,,travel pillow
Magazine Subscriptions,,cooking and food magazine subscriptions
Movies & TV,,sitcom box sets
Musical Instruments,,electric guitar
Office Products,,inkjet printer
Pet Supplies,,dog dental sticks
Premium Beauty,,designer cologne
Prime Video,,prime movies
Smart Home,,ring doorbell
Software,,microsoft windows 10
Sports & Outdoors,,soccer ball
Subscribe & Save,,subscribe and save toilet roll
Subscription Boxes,,beauty box subscription
Tools & Home Improvement,,power drill
Toys & Games,,kids abacus
Under $10,,birthday gift worlds best pillow under 10 $
Video Games,,cyberpunk 2077
